X,J_ss,R0
1.240717695633861,1.659266264739864,0.05
1.5952084658149643,1.4965676434319872,0.05
1.9496992359960674,1.3561555170328756,0.05
2.3041900061771705,1.2705823618045697,0.05
2.6586807763582736,1.210803254592176,0.05
3.013171546539377,1.163466475513682,0.05
3.3676623167204798,1.145084547205316,0.05
3.7221530869015833,1.1106901974050758,0.05
4.076643857082686,1.105592346231903,0.05
4.43113462726379,1.0925084442551891,0.05
4.7856253974448935,1.0813937787040968,0.05
5.1401161676259965,1.0717494686214573,0.05
5.494606937807099,1.0656511391102197,0.05
5.849097707988203,1.0475678770484027,0.05
6.203588478169305,1.048613776592127,0.05
6.558079248350409,1.0462157747812921,0.05
6.912570018531513,1.0424151865070859,0.05
7.267060788712616,1.0381114837933154,0.05
