X,J_D,J_R
1.1209982432795855,3.3383729956011523,5.876419085055325
1.6814973649193783,2.348700693104808,3.8049749315381773
2.241996486559171,1.8751464096712531,2.8725062951900813
2.802495608198964,1.6007850219053414,2.346614991765337
3.362994729838757,1.430752234941985,2.0111672963751563
3.92349385147855,1.307950172147326,1.8085017885931436
4.483992973118342,1.2334023021432037,1.6910527290161583
5.044492094758136,1.1808069281369167,1.5761984073373256
5.604991216397928,1.1261106979729785,1.5795531464249497
6.1654903380377215,1.1114945349105076,1.4454004042752338
6.725989459677514,1.088372399573681,1.402968543461143
7.2864885813173075,1.0754937427166553,1.341253865630926
7.8469877029571,1.0741353478833549,1.2719543649336427
8.407486824596893,1.062288453914541,1.204230283483438
8.967985946236684,1.056199017310302,1.1919615482420796
9.528485067876478,1.048866437808045,1.1555376551158534
10.088984189516273,1.037777349301662,1.1388946701510922
10.649483311156065,1.0357511777459938,1.1227355646982418
11.209982432795856,1.0226675786712407,1.092209889070263
11.770481554435648,1.0179732019991319,1.0670090398087877
12.330980676075445,1.0183266948874328,1.0655339240633752
12.891479797715236,1.016637672223695,1.0695782092627824
13.451978919355028,1.0179070355043744,1.0713531087625006
14.01247804099482,1.0120621424016518,1.0569328111456369
14.572977162634617,1.0116937865569282,1.056570093162028
15.133476284274405,1.012467965618381,1.0449479243839346
15.6939754059142,1.008404976594169,1.0477198273385149
16.25447452755399,1.0114474082991634,1.0420628023567742
16.814973649193785,1.011105538384761,1.0453420852567838
